,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
43,,,,,,,,,,,,,,
44,5.0,Tue,2021-09-21,18:30,Bologna,2.0,2–2,1.5,Genoa,9707.0,Stadio Renato Dall'Ara,Francesco Fourneau,Match Report,
45,5.0,Tue,2021-09-21,20:45,Fiorentina,1.4,1–3,2.8,Inter,15927.0,Stadio Artemio Franchi,Michael Fabbri,Match Report,
46,5.0,Tue,2021-09-21,20:45,Atalanta,1.6,2–1,0.7,Sassuolo,7353.0,Stadio Atleti Azzurri d'Italia,Davide Massa,Match Report,
47,5.0,Wed,2021-09-22,18:30,Spezia,0.7,2–3,2.3,Juventus,5700.0,Stadio Alberto Picco,Gianluca Aureliano,Match Report,
48,5.0,Wed,2021-09-22,18:30,Salernitana,2.7,2–2,1.7,Hellas Verona,9561.0,Stadio Arechi,Massimiliano Irrati,Match Report,
49,5.0,Wed,2021-09-22,20:45,Cagliari,1.1,0–2,1.1,Empoli,7226.0,Sardegna Arena,Marco Di Bello,Match Report,
50,5.0,Wed,2021-09-22,20:45,Milan,1.7,2–0,0.7,Venezia,26185.0,Stadio Giuseppe Meazza,Ivan Pezzuto,Match Report,
51,5.0,Thu,2021-09-23,18:30,Torino,1.1,1–1,0.9,Lazio,8646.0,Stadio Olimpico di Torino,Rosario Abisso,Match Report,
52,5.0,Thu,2021-09-23,18:30,Sampdoria,0.6,0–4,2.2,Napoli,4596.0,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,
53,5.0,Thu,2021-09-23,20:45,Roma,1.3,1–0,0.9,Udinese,29593.0,Stadio Olimpico,Antonio Rapuano,Match Report,
54,,,,,,,,,,,,,,
55,6.0,Sat,2021-09-25,15:00,Spezia,0.9,1–2,1.9,Milan,3618.0,Stadio Alberto Picco,Gianluca Manganiello,Match Report,
56,6.0,Sat,2021-09-25,18:00,Inter,3.9,2–2,2.1,Atalanta,36517.0,Stadio Giuseppe Meazza,Fabio Maresca,Match Report,
57,6.0,Sat,2021-09-25,20:45,Genoa,1.6,3–3,2.2,Hellas Verona,13478.0,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
58,6.0,Sun,2021-09-26,12:30,Juventus,2.4,3–2,0.4,Sampdoria,15381.0,Allianz Stadium,Giovanni Ayroldi,Match Report,
59,6.0,Sun,2021-09-26,15:00,Sassuolo,1.3,1–0,0.9,Salernitana,5177.0,Stadio Città del Tricolore,Antonio Giua,Match Report,
60,6.0,Sun,2021-09-26,15:00,Udinese,0.6,0–1,1.1,Fiorentina,7208.0,Dacia Arena,Davide Ghersini,Match Report,
61,6.0,Sun,2021-09-26,15:00,Empoli,1.8,4–2,2.5,Bologna,5022.0,Stadio Carlo Castellani,Piero Giacomelli,Match Report,
