,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
17,2.0,Sun,2021-08-22,15:30,Hoffenheim,0.9,2–2,1.6,Union Berlin,8014.0,PreZero Arena,Sascha Stegemann,Match Report,
18,2.0,Sun,2021-08-22,17:30,Bayern Munich,2.6,3–2,0.8,Köln,20000.0,Allianz Arena,Martin Petersen,Match Report,
19,,,,,,,,,,,,,,
20,3.0,Fri,2021-08-27,20:30,Dortmund,3.6,3–2,1.8,Hoffenheim,25000.0,Signal Iduna Park,Felix Zwayer,Match Report,
21,3.0,Sat,2021-08-28,15:30,Mainz 05,2.6,3–0,0.4,Greuther Fürth,11500.0,Opel Arena,Tobias Reichel,Match Report,
22,3.0,Sat,2021-08-28,15:30,Stuttgart,1.5,2–3,1.2,Freiburg,25000.0,Mercedes-Benz Arena,Frank Willenborg,Match Report,
23,3.0,Sat,2021-08-28,15:30,Arminia,0.7,1–1,2.1,Eint Frankfurt,13750.0,SchücoArena,Bastian Dankert,Match Report,
24,3.0,Sat,2021-08-28,15:30,Augsburg,1.5,1–4,2.1,Leverkusen,10582.0,WWK Arena,Benjamin Brand,Match Report,
25,3.0,Sat,2021-08-28,15:30,Köln,2.0,2–1,1.0,Bochum,25000.0,RheinEnergieSTADION,Benjamin Cortus,Match Report,
26,3.0,Sat,2021-08-28,18:30,Bayern Munich,3.0,5–0,0.4,Hertha BSC,25000.0,Allianz Arena,Sven Jablonski,Match Report,
27,3.0,Sun,2021-08-29,15:30,Union Berlin,1.9,2–1,2.2,M'Gladbach,11006.0,Stadion An der Alten Försterei,Felix Brych,Match Report,
28,3.0,Sun,2021-08-29,17:30,Wolfsburg,1.1,1–0,1.4,RB Leipzig,12058.0,Volkswagen Arena,Tobias Stieler,Match Report,
29,,,,,,,,,,,,,,
30,4.0,Sat,2021-09-11,15:30,Freiburg,0.6,1–1,0.8,Köln,10000.0,Schwarzwald-Stadion,Harm Osmers,Match Report,
31,4.0,Sat,2021-09-11,15:30,Hoffenheim,0.8,0–2,1.1,Mainz 05,8427.0,PreZero Arena,Marco Fritz,Match Report,
32,4.0,Sat,2021-09-11,15:30,Union Berlin,1.3,0–0,1.3,Augsburg,10207.0,Stadion An der Alten Försterei,Martin Petersen,Match Report,
33,4.0,Sat,2021-09-11,15:30,Leverkusen,0.9,3–4,2.1,Dortmund,17605.0,BayArena,Daniel Siebert,Match Report,
34,4.0,Sat,2021-09-11,15:30,Greuther Fürth,0.5,0–2,1.6,Wolfsburg,9000.0,Sportpark Ronhof Thomas Sommer,Robert Hartmann,Match Report,
35,4.0,Sat,2021-09-11,18:30,RB Leipzig,0.5,1–4,4.2,Bayern Munich,34000.0,Red Bull Arena,Deniz Aytekin,Match Report,
36,4.0,Sun,2021-09-12,15:30,Eint Frankfurt,1.3,1–1,1.4,Stuttgart,25000.0,Commerzbank-Arena,Matthias Jöllenbeck,Match Report,
37,4.0,Sun,2021-09-12,17:30,Bochum,1.2,1–3,0.5,Hertha BSC,14000.0,Vonovia Ruhrstadion,Robert Schröder,Match Report,
38,4.0,Sun,2021-09-12,19:30,M'Gladbach,1.9,3–1,1.8,Arminia,24500.0,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
39,,,,,,,,,,,,,,
40,5.0,Fri,2021-09-17,20:30,Hertha BSC,1.1,2–1,1.3,Greuther Fürth,21372.0,Olympiastadion Berlin,Tobias Stieler,Match Report,
41,5.0,Sat,2021-09-18,15:30,Augsburg,0.4,1–0,0.7,M'Gladbach,12500.0,WWK Arena,Florian Badstübner,Match Report,
42,5.0,Sat,2021-09-18,15:30,Arminia,1.1,0–0,1.5,Hoffenheim,13750.0,SchücoArena,Patrick Ittrich,Match Report,
43,5.0,Sat,2021-09-18,15:30,Bayern Munich,4.5,7–0,1.0,Bochum,25000.0,Allianz Arena,Tobias Welz,Match Report,
44,5.0,Sat,2021-09-18,15:30,Mainz 05,0.8,0–0,0.7,Freiburg,13500.0,Opel Arena,Benjamin Brand,Match Report,
45,5.0,Sat,2021-09-18,18:30,Köln,1.6,1–1,1.9,RB Leipzig,25000.0,RheinEnergieSTADION,Felix Brych,Match Report,
46,5.0,Sun,2021-09-19,15:30,Stuttgart,1.1,1–3,1.5,Leverkusen,23450.0,Mercedes-Benz Arena,Benjamin Cortus,Match Report,
47,5.0,Sun,2021-09-19,17:30,Dortmund,0.9,4–2,1.4,Union Berlin,25000.0,Signal Iduna Park,Sven Jablonski,Match Report,
48,5.0,Sun,2021-09-19,19:30,Wolfsburg,1.7,1–1,0.3,Eint Frankfurt,9266.0,Volkswagen Arena,Felix Zwayer,Match Report,
49,,,,,,,,,,,,,,
50,6.0,Fri,2021-09-24,20:30,Greuther Fürth,1.0,1–3,0.9,Bayern Munich,11740.0,Sportpark Ronhof Thomas Sommer,Robert Schröder,Match Report,
