,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,player_id,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,week,year
59,Matt Ritchie,DEF,Newcastle,2.4,0,0,0,0,0.0,350,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,8772,0,0,2,0.0,0,0,0,0,45,True,0,1,2023
60,Jannik Vestergaard,DEF,Leicester,1.0,0,0,0,0,0.0,253,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,4,0,0,0,0,1,0,799742,0,2,2,0.0,0,0,0,0,40,True,0,1,2023
61,Enock Mwepu,MID,Brighton,1.5,0,0,5,0,11.8,118,0.0,0.0,0.0,0.0,9,0,0,2.1,9.2,2022-08-07T13:00:00Z,14,14,0,0,0,0,1,0,10644,0,2,1,0.0,1,0,0,0,55,False,0,1,2023
62,Trevoh Chalobah,DEF,Chelsea,2.8,0,0,0,0,0.0,141,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2022-08-06T16:30:00Z,0,8,0,0,0,0,1,0,55821,0,1,0,0.0,0,0,0,0,50,False,0,1,2023
63,Chris Richards,DEF,Crystal Palace,1.4,0,0,0,0,0.0,530,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,1,0,0,0,0,1,0,5048,0,2,0,0.0,0,0,0,0,45,True,0,1,2023
64,Diogo Teixeira da Silva,FWD,Liverpool,0.0,0,0,0,0,0.0,288,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2022-08-06T11:30:00Z,0,9,0,0,0,0,1,0,55789,0,2,2,0.0,0,0,0,0,90,False,0,1,2023
65,Martin Dubravka,GK,Newcastle,2.7,0,0,0,0,0.0,355,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,16,0,0,0,0,1,0,97650,0,0,2,0.0,0,0,0,0,45,True,0,1,2023
66,Rodrigo Moreno,MID,Leeds,1.7,0,0,23,0,1.1,225,0.0,0.0,0.0,0.0,5,1,1,6.5,34.8,2022-08-06T14:00:00Z,64,20,0,0,0,0,1,0,73866,0,1,2,29.0,7,0,0,0,60,True,0,1,2023
67,Francisco Jorge TomÃ¡s Oliveira,MID,Wolves,0.0,0,0,0,0,0.0,490,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,11,0,0,0,0,1,0,309,0,1,2,0.0,0,0,0,0,50,False,0,1,2023
68,Mohammed Salisu,DEF,Southampton,1.4,0,0,7,0,17.0,420,0.0,0.0,0.0,0.0,8,4,0,3.9,16.0,2022-08-06T14:00:00Z,90,18,1,0,0,0,1,0,14247,0,1,4,6.0,-2,0,0,0,45,False,0,1,2023
