,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Spread,home_odds,away_odds,Opening Spread,inter_spread_1,inter_spread_2,inter_spread_3
37,5,Sat,2022-09-03,15:30:00,Stuttgart,,,,Schalke 04,,Mercedes-Benz Arena,,Head-to-Head,-0.75,,,-0.5,-0.75,,
38,5,Sat,2022-09-03,15:30:00,Bochum,,,,Werder Bremen,,Vonovia Ruhrstadion,,Head-to-Head,0.25,,,0.25,0.25,,
39,5,Sat,2022-09-03,15:30:00,Union Berlin,,,,Bayern Munich,,Stadion An der Alten FÃ¶rsterei,,Head-to-Head,1.5,,,1.25,1.5,,
40,5,Sat,2022-09-03,15:30:00,Leverkusen,,,,Freiburg,,BayArena,,Head-to-Head,-0.5,,,-0.5,-0.5,,
41,5,Sat,2022-09-03,15:30:00,Wolfsburg,,,,Köln,,Volkswagen Arena,,Head-to-Head,-0.5,,,-0.25,-0.25,,
42,5,Sat,2022-09-03,18:30:00,Eint Frankfurt,,,,RB Leipzig,,Commerzbank-Arena,,Head-to-Head,0.5,,,0.5,0.5,,
43,5,Sun,2022-09-04,15:30:00,Augsburg,,,,Hertha BSC,,WWK Arena,,Head-to-Head,0.0,,,0.0,0.0,,
44,5,Sun,2022-09-04,17:30:00,M'Gladbach,,,,Mainz 05,,Stadion im Borussia-Park,,Head-to-Head,-0.25,,,-0.25,-0.25,,
45,6,Fri,2022-09-09,20:30:00,Werder Bremen,,,,Augsburg,,Weserstadion,,Head-to-Head,-1.0,,,-0.5,-0.5,,
46,6,Sat,2022-09-10,15:30:00,Bayern Munich,,,,Stuttgart,,Allianz Arena,,Head-to-Head,-2.5,,,-2.25,-2.25,,
47,6,Sat,2022-09-10,15:30:00,Eint Frankfurt,,,,Wolfsburg,,Commerzbank-Arena,,Head-to-Head,-0.5,,,-0.25,-0.25,,
48,6,Sat,2022-09-10,15:30:00,Hertha BSC,,,,Leverkusen,,Olympiastadion Berlin,,Head-to-Head,0.5,,,0.5,0.5,,
49,6,Sat,2022-09-10,15:30:00,Hoffenheim,,,,Mainz 05,,PreZero Arena,,Head-to-Head,-0.25,,,-0.25,-0.25,,
50,6,Sat,2022-09-10,15:30:00,RB Leipzig,,,,Dortmund,,Red Bull Arena,,Head-to-Head,-0.25,,,-0.25,-0.25,,
51,6,Sat,2022-09-10,18:30:00,Schalke 04,,,,Bochum,,Veltins-Arena,,Head-to-Head,-0.5,,,-0.25,-0.25,,
52,6,Sun,2022-09-11,15:30:00,Köln,,,,Union Berlin,,RheinEnergieSTADION,,Head-to-Head,-0.25,,,-0.25,-0.25,,
53,6,Sun,2022-09-11,17:30:00,Freiburg,,,,M'Gladbach,,Europa-Park Stadion,,Head-to-Head,-0.5,,,-0.25,-0.25,,
