,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
53,6.0,Sat,2022-09-10,15:30,Eint Frankfurt,,,,Wolfsburg,,Commerzbank-Arena,,Head-to-Head,
54,6.0,Sat,2022-09-10,15:30,Hertha BSC,,,,Leverkusen,,Olympiastadion Berlin,,Head-to-Head,
55,6.0,Sat,2022-09-10,15:30,RB Leipzig,,,,Dortmund,,Red Bull Arena,,Head-to-Head,
56,6.0,Sat,2022-09-10,18:30,Schalke 04,,,,Bochum,,Veltins-Arena,,Head-to-Head,
57,6.0,Sun,2022-09-11,15:30,Köln,,,,Union Berlin,,RheinEnergieSTADION,,Head-to-Head,
58,6.0,Sun,2022-09-11,17:30,Freiburg,,,,M'Gladbach,,Europa-Park Stadion,,Head-to-Head,
59,,,,,,,,,,,,,,
60,7.0,Fri,2022-09-16,20:30,Mainz 05,,,,Hertha BSC,,Opel Arena,,Head-to-Head,
61,7.0,Sat,2022-09-17,15:30,Stuttgart,,,,Eint Frankfurt,,Mercedes-Benz Arena,,Head-to-Head,
62,7.0,Sat,2022-09-17,15:30,Augsburg,,,,Bayern Munich,,WWK Arena,,Head-to-Head,
63,7.0,Sat,2022-09-17,15:30,Dortmund,,,,Schalke 04,,Signal Iduna Park,,Head-to-Head,
64,7.0,Sat,2022-09-17,15:30,Leverkusen,,,,Werder Bremen,,BayArena,,Head-to-Head,
65,7.0,Sat,2022-09-17,18:30,M'Gladbach,,,,RB Leipzig,,Stadion im Borussia-Park,,Head-to-Head,
66,7.0,Sun,2022-09-18,15:30,Union Berlin,,,,Wolfsburg,,Stadion An der Alten Försterei,,Head-to-Head,
67,7.0,Sun,2022-09-18,17:30,Bochum,,,,Köln,,Vonovia Ruhrstadion,,Head-to-Head,
68,7.0,Sun,2022-09-18,19:30,Hoffenheim,,,,Freiburg,,PreZero Arena,,Head-to-Head,
69,,,,,,,,,,,,,,
70,8.0,Sat,2022-10-01,,Bayern Munich,,,,Leverkusen,,Allianz Arena,,Head-to-Head,
71,8.0,Sat,2022-10-01,,Wolfsburg,,,,Stuttgart,,Volkswagen Arena,,Head-to-Head,
72,8.0,Sat,2022-10-01,,Schalke 04,,,,Augsburg,,Veltins-Arena,,Head-to-Head,
73,8.0,Sat,2022-10-01,,RB Leipzig,,,,Bochum,,Red Bull Arena,,Head-to-Head,
74,8.0,Sat,2022-10-01,,Köln,,,,Dortmund,,RheinEnergieSTADION,,Head-to-Head,
75,8.0,Sat,2022-10-01,,Werder Bremen,,,,M'Gladbach,,Weserstadion,,Head-to-Head,
76,8.0,Sat,2022-10-01,,Hertha BSC,,,,Hoffenheim,,Olympiastadion Berlin,,Head-to-Head,
77,8.0,Sat,2022-10-01,,Freiburg,,,,Mainz 05,,Europa-Park Stadion,,Head-to-Head,
